address,bedroom,toilet,investor,acreage,price,lat,long,distance
Nam Từ Liêm,3.0,2.0,other,94.0,30.0,21.012432098388697,105.767395019531,9.0309361915427
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,72.0,38.888888888888886,21.0197982788086,105.780708312988,7.527949821012995
Cầu Giấy,2.0,2.0,tân hoàng minh group,82.0,34.14634146341464,21.0058059692383,105.794372558594,6.563943634959253
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,69.0,29.0,21.0065288543701,105.753555297852,10.578458375098457
Tây Hồ,4.0,2.0,tổng công ty đầu tư phát triển hạ tầng đô thị - udic,148.0,35.810810810810814,21.0639667510986,105.805503845215,6.2518584401137325
Bắc Từ Liêm,2.0,2.0,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,74.55,25.0,21.0403366088867,105.767585754395,8.914089615411918
Hoàng Mai,2.0,2.0,công ty cp xây dựng số 2 - vinaconex2,76.0,17.3,20.9732913970947,105.820007324219,7.050216790986244
Nam Từ Liêm,4.0,2.0,tập đoàn vingroup,380.0,48.68421052631579,21.0190830230713,105.781730651855,7.433990768186256
Thanh Xuân,2.0,2.0,tập đoàn vingroup,88.0,37.5,21.002666473388697,105.8154296875,4.833123138746107
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,66.0,45.45454545454545,21.0190830230713,105.781730651855,7.433990768186256
Thanh Xuân,2.0,2.0,tập đoàn vingroup,103.0,35.92233009708737,21.002666473388697,105.8154296875,4.833123138746107
Ba Đình,2.0,2.0,tập đoàn vingroup,75.0,64.0,21.0317993164063,105.814193725586,3.9932741062709183
Gia Lâm,2.0,2.0,other,70.0,25.0,21.0024147033691,105.964111328125,11.966388708428244
Nam Từ Liêm,2.0,1.0,tập đoàn vingroup,54.0,29.62962962962963,21.0065288543701,105.753555297852,10.578458375098457
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,65.64,39.60999390615478,21.0190830230713,105.781730651855,7.433990768186256
Nam Từ Liêm,3.0,2.0,tập đoàn vingroup,76.0,34.21052631578947,21.0065288543701,105.753555297852,10.578458375098457
